,mean,max,25%,50%,75%,95%,std
1293A0050,285.91001141552516,693.6,202.90000000000003,275.3,356.32500000000005,464.10499999999985,101.68105373276907
1293A0040,237.73409817351597,559.9999999999998,173.20000000000002,218.50000000000003,295.04999999999995,395.8,84.22428577625
1293B4020,239.4921118721461,623.6,173.8,222.50000000000003,298.52500000000003,392.8999999999999,83.52022569211007
1293A0070,178.74917808219178,460.8999999999999,127.20000000000005,166.20000000000002,224.20000000000005,298.6,65.66287679488863
1293B6010,255.77005707762555,627.3999999999999,184.4,236.50000000000003,319.4,421.29999999999984,89.34603010006795
1293A0080,238.02207762557083,641.0999999999998,172.875,219.10000000000005,297.40000000000003,392.8999999999999,83.12062072632075
1293B5010,234.68813926940638,590.2,170.075,218.50000000000006,291.8,385.90999999999985,81.57072745641031
1293B3020,304.66480593607304,715.6999999999998,220.90000000000003,284.0,379.8999999999999,490.7099999999997,102.49012292592238
1293B3010,193.41947488584475,597.8000000000001,136.775,180.75,244.45000000000002,323.19999999999993,72.8983533016898
1293A0010,285.40289954337896,662.4999999999997,208.25000000000003,267.40000000000003,355.39999999999986,461.0049999999998,96.90398316376256
1293B3030,163.72988584474885,503.2000000000001,112.775,153.20000000000002,205.90000000000003,279.705,64.26588391662132
1293B8010,184.4362899543379,538.2,130.20000000000002,172.95000000000002,232.20000000000005,311.69999999999993,69.80432207903557
1293C1020,204.4236415525114,559.6,145.00000000000003,191.75,256.6,338.7149999999997,74.33219767144813
1293C1010,262.04522831050224,694.2999999999997,190.4,241.80000000000004,326.625,427.6999999999999,89.79908826407389
1293C1030,146.9452397260274,447.3,101.7,137.20000000000002,184.5,254.105,58.199242994125235
1293C1050,205.48308219178085,566.6999999999999,148.70000000000002,190.95000000000005,257.30000000000007,341.10499999999996,73.31807368167453
1293C1060,167.4417579908676,457.6,119.3,155.90000000000003,210.00000000000003,282.6,62.66846246192584
1293C1040,178.93406392694067,489.7999999999999,127.20000000000005,166.8,222.30000000000004,301.9,66.67840990665145
1293B2010,206.7947488584475,655.1,144.9,195.05,260.225,343.8149999999998,77.81940649492977
1293C1090,264.07206621004565,629.2999999999995,191.70000000000005,244.20000000000005,329.95,429.20499999999976,90.6824917458513
1293B2020,251.70308219178082,626.3,181.77500000000003,234.50000000000006,312.29999999999995,412.9099999999998,87.68718078111246
1293C1110,204.3337671232877,601.8,144.50000000000003,191.85000000000002,255.05000000000007,339.8149999999998,75.92112848170464
1293C1100,182.23206621004567,515.1,126.60000000000002,170.50000000000003,229.3,312.1,71.23516829671107
1293B2030,237.96632420091325,560.7999999999997,173.10000000000002,221.75000000000006,296.79999999999995,390.0049999999998,83.01128665582016
1293C1130,235.76342465753424,590.0999999999998,173.60000000000002,218.10000000000002,290.90000000000003,385.5999999999999,80.04838879458067
1293C1120,263.11634703196347,631.0999999999998,191.90000000000003,243.35000000000005,327.325,428.3049999999998,89.72791414805657
1293C1070,328.3490296803652,766.0999999999995,241.40000000000003,299.45,406.99999999999983,539.5999999999996,111.30879423230837
1293C1080,227.31770547945206,590.3999999999999,163.20000000000002,212.00000000000006,284.9,371.3,79.64963799066996
1293A0020,297.49123287671233,654.5999999999998,217.70000000000007,275.80000000000007,369.825,480.29999999999984,99.3775592680245
1284C1060,241.1939497716895,634.5,170.10000000000005,227.40000000000003,304.3,399.60499999999996,88.37454655856048
1284C1070,244.78929223744294,596.0,176.60000000000002,226.95000000000005,307.04999999999995,405.2049999999997,87.46563816714195
1284C1080,179.5603196347032,526.3,126.4,167.10000000000002,225.50000000000003,303.9,68.0026498673641
1284C1090,206.09343607305937,454.9999999999998,147.9,189.30000000000004,255.5250000000001,349.29999999999995,74.86146059262543
1284C1110,172.42720319634705,483.0,119.9,159.8,217.30000000000004,295.4049999999999,66.80527073277908
1284C1100,211.91963470319638,562.4,149.97500000000002,198.8,265.02500000000003,351.9999999999999,77.09162865055671
1284B2010,125.18377853881277,397.1,86.7,116.0,157.00000000000003,219.6199999999997,51.84980698965776
1284A0010,246.24666666666664,589.0999999999997,177.77500000000003,228.6,308.625,404.8299999999996,85.95784819328432
1284C1120,244.68878995433792,692.4,176.80000000000004,229.20000000000005,304.49999999999994,402.19999999999993,86.73288941652322
1284A0030,138.01905251141554,519.5999999999999,90.4,127.0,175.725,255.7099999999999,63.62927330838495
1284B2020,190.4671803652968,685.0,134.3,177.5,239.2,320.19999999999993,72.0166680627638
1284A0020,232.32560502283107,593.6999999999999,163.40000000000003,217.8,291.6,386.10499999999996,85.41303252292556
1284C1010,156.01155251141552,467.4,108.9,145.8,195.8,265.30000000000007,59.80005759088958
1284C1020,267.0418721461187,602.4999999999998,191.1,248.70000000000005,334.29999999999995,439.3049999999998,94.96585841413469
1284C1030,195.77874429223746,596.4,133.2,184.6,247.72500000000005,336.1149999999998,78.76249492292204
1284C1040,150.38300228310504,551.1,98.1,138.50000000000003,190.10000000000005,273.705,67.68982409994231
1284C1050,207.49097031963473,663.5999999999998,144.30000000000004,197.25,261.0,350.2149999999998,80.27498540549965
1276B3010,289.92554794520544,787.1999999999995,206.6,275.75,361.6,472.0999999999999,102.51404953980953
1276A0030,230.30170091324203,704.5,159.60000000000002,218.10000000000005,289.5,386.9999999999999,87.3317570270893
1276B2010,320.17438356164377,842.8999999999999,229.25000000000003,303.70000000000005,401.225,518.1999999999998,111.2013980556027
1276A0020,209.53463470319636,790.8000000000001,133.0,195.05,265.20000000000005,396.62499999999966,100.36723010108021
1276A0010,288.3364611872146,775.3,203.20000000000005,275.70000000000005,361.7250000000001,469.9149999999997,104.10858568452323
1276C1010,300.6163812785388,846.4999999999999,213.90000000000003,284.70000000000005,378.42499999999995,487.0999999999997,106.55005606180225
1276C1050,177.02472602739726,677.0,115.8,165.7,223.75000000000003,320.91499999999974,78.24369373683477
1276C1020,239.24418949771692,658.1,167.60000000000002,224.90000000000003,300.9,398.20499999999987,88.29570889709767
1276C1030,221.0319292237443,674.0999999999999,152.3,207.40000000000003,281.1,367.60499999999996,84.2724330541916
1276C1040,232.0564383561644,589.8,163.20000000000002,218.5,292.8,385.8999999999999,85.79088433385259
1272A0010,215.73711187214613,554.0999999999998,150.75,203.3,271.8,362.7,81.68483771214588
1272B3010,221.60809360730596,683.1,151.10000000000002,210.50000000000003,280.0,381.6149999999998,88.99791265613173
1272C1010,323.86309360730587,754.9999999999998,231.50000000000003,309.0,405.625,517.9049999999999,111.8544986097973
1272C1020,287.4254566210046,737.9,203.375,272.3,361.8,472.1,103.79380930040742
1272C1030,229.73841324200913,654.3999999999999,159.675,217.6,289.02500000000003,384.50499999999994,86.47678332689095
1272C1040,216.90901826484017,708.0,149.10000000000002,204.8,274.325,365.50499999999994,84.28336518925956
1272B2010,200.39038812785392,696.3999999999997,134.675,188.7,253.70000000000005,346.10499999999996,81.76770236037959
1283A0040,162.87565068493151,529.0999999999998,107.80000000000003,151.3,206.32500000000005,294.0,71.6552359333108
1283C1460,137.01609589041098,539.1,86.69999999999999,124.00000000000003,174.3,262.705,66.86636014312244
1283C1440,151.64520547945204,578.4000000000001,97.90000000000002,139.05,192.70000000000005,279.50499999999994,69.88382442587549
