,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1293B3010,46,1293,Hässleholm,638,Lågpendlingskommun nära större stad,31,6,1127,434578,6220850,19117.16387,9427232.999,193.41947488584475,597.8000000000001,136.775,180.75,244.45000000000002,323.19999999999993,72.8983533016898
1293A0010,47,1293,Hässleholm,991,Lågpendlingskommun nära större stad,31,6,1555,418693,6205881,86098.48096,169559367.9,285.40289954337896,662.4999999999997,208.25000000000003,267.40000000000003,355.39999999999986,461.0049999999998,96.90398316376256
1293B3030,48,1293,Hässleholm,545,Lågpendlingskommun nära större stad,31,6,1182,434578,6220850,10630.11381,4736684.324,163.72988584474885,503.2000000000001,112.775,153.20000000000002,205.90000000000003,279.705,64.26588391662132
1293B8010,49,1293,Hässleholm,633,Lågpendlingskommun nära större stad,31,6,1166,424130,6226656,9960.822656,6706767.123,184.4362899543379,538.2,130.20000000000002,172.95000000000002,232.20000000000005,311.69999999999993,69.80432207903557
1293C1020,50,1293,Hässleholm,701,Lågpendlingskommun nära större stad,31,6,1453,424130,6226656,3630.794508,763748.5992,204.4236415525114,559.6,145.00000000000003,191.75,256.6,338.7149999999997,74.33219767144813
1293C1010,51,1293,Hässleholm,921,Lågpendlingskommun nära större stad,31,6,1986,424130,6226656,7140.349967,2587427.51,262.04522831050224,694.2999999999997,190.4,241.80000000000004,326.625,427.6999999999999,89.79908826407389
1293C1030,52,1293,Hässleholm,503,Lågpendlingskommun nära större stad,31,6,1226,424130,6226656,2813.309541,411161.7193,146.9452397260274,447.3,101.7,137.20000000000002,184.5,254.105,58.199242994125235
1293C1050,53,1293,Hässleholm,720,Lågpendlingskommun nära större stad,31,6,2078,424130,6226656,2023.343965,210811.9218,205.48308219178085,566.6999999999999,148.70000000000002,190.95000000000005,257.30000000000007,341.10499999999996,73.31807368167453
1293C1060,54,1293,Hässleholm,586,Lågpendlingskommun nära större stad,31,6,1540,424130,6226656,1995.034892,256926.0966,167.4417579908676,457.6,119.3,155.90000000000003,210.00000000000003,282.6,62.66846246192584
1293C1040,55,1293,Hässleholm,624,Lågpendlingskommun nära större stad,31,6,1897,424130,6226656,5760.012121,1235899.404,178.93406392694067,489.7999999999999,127.20000000000005,166.8,222.30000000000004,301.9,66.67840990665145
1293B2010,56,1293,Hässleholm,673,Lågpendlingskommun nära större stad,31,6,1518,415506,6226559,8759.564862,3887082.342,206.7947488584475,655.1,144.9,195.05,260.225,343.8149999999998,77.81940649492977
1293C1090,57,1293,Hässleholm,925,Lågpendlingskommun nära större stad,31,6,1885,424130,6226656,5670.087016,1165507.184,264.07206621004565,629.2999999999995,191.70000000000005,244.20000000000005,329.95,429.20499999999976,90.6824917458513
1293B2020,58,1293,Hässleholm,887,Lågpendlingskommun nära större stad,31,6,1703,415506,6226559,9248.66542,4525803.843,251.70308219178082,626.3,181.77500000000003,234.50000000000006,312.29999999999995,412.9099999999998,87.68718078111246
1293C1110,59,1293,Hässleholm,687,Lågpendlingskommun nära större stad,31,6,1494,424130,6226656,4744.549475,1062553.716,204.3337671232877,601.8,144.50000000000003,191.85000000000002,255.05000000000007,339.8149999999998,75.92112848170464
1293C1100,60,1293,Hässleholm,600,Lågpendlingskommun nära större stad,31,6,1699,424130,6226656,5278.621212,1288908.932,182.23206621004567,515.1,126.60000000000002,170.50000000000003,229.3,312.1,71.23516829671107
