,mean,max,25%,50%,75%,95%,std
1276C1010,299.39295662100443,1096.0999999999997,112.47500000000001,244.7,454.0,702.2099999999995,213.75386039619536
1276C1050,176.20372146118723,737.5999999999999,61.2,147.85000000000002,268.29999999999995,417.805,130.6930505694169
1276C1020,236.36068493150682,890.6999999999995,88.4,192.30000000000004,360.025,552.9049999999997,171.17950873429294
1276C1030,220.37157534246572,916.0999999999996,82.10000000000001,179.65,333.92499999999995,519.0,159.95628482977145
1276C1040,229.72573059360727,850.8999999999995,85.4,187.05,350.6999999999999,544.2049999999996,166.74392811639623
1272A0010,214.32147260273968,794.8999999999997,80.475,174.15000000000003,330.6,499.6049999999996,154.4877545638995
1272B3010,220.62889269406392,912.1999999999996,82.275,185.5,336.875,511.40499999999986,157.86259114924678
1272C1010,324.88913242009124,1129.5999999999992,123.70000000000002,269.75,495.1999999999998,753.1049999999996,230.5362852421872
1272C1020,287.5038356164383,1031.4999999999995,107.775,233.20000000000005,443.325,674.3999999999996,207.09524663663035
1272C1030,230.94649543378992,876.3999999999996,87.0,190.05,352.4,533.9999999999997,164.85017455061228
1272C1040,216.65861872146118,888.2999999999997,81.275,178.50000000000006,334.42499999999984,504.30999999999966,156.16245894837445
1272B2010,200.41906392694062,846.7999999999998,73.475,163.70000000000002,304.85,473.1999999999997,146.34114897121518
1283A0040,160.52702054794523,675.6999999999998,54.3,133.40000000000003,247.10000000000005,383.70499999999987,120.91411506176996
1283C1460,136.22041095890413,688.0999999999998,43.7,109.10000000000002,210.32500000000005,332.73999999999944,106.15223520810018
1283C1440,152.2074771689498,686.0999999999998,52.9,123.8,231.50000000000003,369.73499999999956,115.5413467687413
1283C1180,173.3413127853881,687.8999999999999,60.8,144.5,261.80000000000007,413.00999999999993,128.74803976725025
1283C1390,144.00628995433792,731.1,47.4,116.4,221.7,349.3049999999999,111.25982265987163
1283C1380,148.90440639269409,631.4,51.075,122.5,226.10000000000005,357.41999999999973,111.84855504604424
1283C1450,119.9092465753425,601.3999999999999,39.775,97.9,183.625,295.30999999999995,93.84804940731335
1283C1510,159.4633675799087,743.1999999999998,54.6,131.3,243.20000000000007,379.19999999999993,119.12493149674883
1283C1230,120.1036415525114,607.0,35.9,100.9,177.72500000000002,308.6,97.98848074142616
1283C1240,105.953801369863,612.7,32.7,86.3,162.32500000000002,267.305,86.16199072882394
1283C1410,175.96155251141553,817.3999999999999,61.9,145.40000000000003,270.25,418.20499999999987,129.7116865827153
