OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
32;{E29D9872-7967-4BA9-A830-50A64F8D4791};1284A0030;1284;12;Höganäs;Skåne;2018_v2;76;Höganäs;1284A0030;HÖGANÄS;761;522;382;140;611;111;31;Pendlingskommun nära större stad;25;3;21983.38814;25802575.54;3116;9.095179287;19;No
33;{DAEA46F9-8742-48EA-AA60-503FAEC56000};1257A0010;1257;12;Örkelljunga;Skåne;2018_v2;186;Örkelljunga;1257A0010;LÄRKERÖD;1278;791;700;91;1210;57;47;Pendlingskommun nära större stad;25;3;63515.7321;93092130.97;7635;58.57832821;57;No
34;{7C17A817-B041-4ADD-AC42-CC6D8C01B5D6};1256A0020;1256;12;Östra Göinge;Skåne;2018_v2;5;Östra Göinge;1256A0020;TORSEBRO;842;531;477;54;794;17;31;Pendlingskommun nära större stad;25;3;90670.35047;114111077.8;3394;77.90967875;81;No
35;{18AB70EE-9202-4130-AC6D-54AD2725E8FB};1284B2020;1284;12;Höganäs;Skåne;2018_v2;77;Höganäs;1284B2020;HÖGANÄS;1322;800;771;29;1275;6;48;Pendlingskommun nära större stad;25;3;14486.83208;7182515.764;6852;11.94638487;25;No
36;{66D027FF-ACE7-4398-B5B3-1B1B52DA1FFE};1292C1100;1292;12;Ängelholm;Skåne;2018_v2;20;Ängelholm;1292C1100;ÄNGELHO;2013;957;668;289;1366;602;57;Pendlingskommun nära större stad;25;3;9690.763159;3862202.115;0;0;0;Medium
37;{5C3ADA86-E267-4CAB-B5A0-73B7BEB261AD};1292C1120;1292;12;Ängelholm;Skåne;2018_v2;21;Ängelholm;1292C1120;ÄNGELHO;1891;950;885;65;1791;43;57;Pendlingskommun nära större stad;25;3;5405.331492;891762.8237;9264;1.546507165;6;No
38;{50F5E404-9C21-4D1E-A232-FFF7E6CD0BE9};1256B4010;1256;12;Östra Göinge;Skåne;2018_v2;6;Östra Göinge;1256B4010;ARKELSTORP;1412;666;498;168;1020;342;39;Pendlingskommun nära större stad;25;3;10096.14553;6892427.453;1718;7.088492592;9;No
39;{FC6BD46A-A22E-48FD-941A-EBFED7820D79};1292C1110;1292;12;Ängelholm;Skåne;2018_v2;22;Ängelholm;1292C1110;ÄNGELHO;2291;1136;1010;126;1996;156;68;Pendlingskommun nära större stad;25;3;15677.97155;6256291.692;10800;12.11829397;44;Medium
40;{BBEFA0C5-8B2D-420C-AA17-E4F00488E863};1290A0110;1290;12;Kristianstad;Skåne;2018_v2;193;Kristianstad;1290A0110;ARKELSTORP;2296;1346;1212;134;2206;38;80;Större stad;21;2;71520.50954;162914715.7;1716;70.58613528;37;No
41;{17B4A3AB-14AF-4D72-8724-2254B70BEAD4};1292B2020;1292;12;Ängelholm;Skåne;2018_v2;23;Ängelholm;1292B2020;ÄNGELHO;1776;979;805;174;1460;246;58;Pendlingskommun nära större stad;25;3;16458.11336;10553212.08;2955;10.91883229;14;No
42;{D24DAD58-FDBA-4231-AF59-D76FBF39484A};1293B7010;1293;12;Hässleholm;Skåne;2018_v2;36;Hässleholm;1293B7010;BJÄRNUM_V;1819;869;687;182;1404;337;52;Lågpendlingskommun nära större stad;31;6;12780.41344;10828804.09;2550;11.46394878;17;No
43;{FCE10184-21A0-4F8B-B730-4DFFB87FD6DA};1257C1030;1257;12;Örkelljunga;Skåne;2018_v2;187;Örkelljunga;1257C1030;LÄRKERÖD;1714;682;344;338;759;802;40;Pendlingskommun nära större stad;25;3;8534.576419;2513376.067;4435;3.10578277;13;No
44;{EEEA613C-BDAC-49EC-B830-087B940E40DF};1292C1150;1292;12;Ängelholm;Skåne;2018_v2;24;Ängelholm;1292C1150;GREVIE;2317;1213;950;263;1860;288;72;Pendlingskommun nära större stad;25;3;10619.38703;4335909.873;1598;2.378019131;7;No
45;{DC97D0E4-45DF-489E-8FCE-698F209C72AE};1257C1020;1257;12;Örkelljunga;Skåne;2018_v2;188;Örkelljunga;1257C1020;LÄRKERÖD;1557;758;429;329;846;601;45;Pendlingskommun nära större stad;25;3;13811.23838;3007801.835;4140;0.579771267;6;No
46;{C9D62D62-8D95-4314-B77B-5206EEADBEC2};1257C1010;1257;12;Örkelljunga;Skåne;2018_v2;189;Örkelljunga;1257C1010;LÄRKERÖD;1332;763;627;136;1112;191;45;Pendlingskommun nära större stad;25;3;16937.95747;12283611.76;6996;18.82282473;40;No
47;{EC71B227-0FC9-43E6-8EEE-45FECA03116A};1292C1130;1292;12;Ängelholm;Skåne;2018_v2;25;Ängelholm;1292C1130;ÄNGELHO;1582;852;788;64;1414;126;51;Pendlingskommun nära större stad;25;3;12533.09858;6307346.679;10228;2.676070491;6;No
48;{8F57FD0F-76B4-4532-B4FC-BEBAF724B746};1293B4010;1293;12;Hässleholm;Skåne;2018_v2;37;Hässleholm;1293B4010;BJÄRNUM_V;1376;669;464;205;945;367;40;Lågpendlingskommun nära större stad;31;6;13631.80483;7880684.796;7130;6.678058913;16;No
49;{6B4FEB33-B85A-4833-AB34-DCAD8021C63B};1293A0050;1293;12;Hässleholm;Skåne;2018_v2;38;Hässleholm;1293A0050;HÄSSLEHOLM;1263;888;791;97;1195;46;53;Lågpendlingskommun nära större stad;31;6;64854.64398;78902017.2;7733;58.30132821;52;No
50;{1BCEA8DB-B0FD-470A-ACED-F3F90B2EE64A};1293A0040;1293;12;Hässleholm;Skåne;2018_v2;39;Hässleholm;1293A0040;TYRINGE;1369;846;773;73;1335;6;50;Lågpendlingskommun nära större stad;31;6;83759.97024;180278967.9;4859;103.9933955;69;No
51;{5089FC1A-3DDA-4D7E-A8D2-C1A83B79130E};1293B4020;1293;12;Hässleholm;Skåne;2018_v2;40;Hässleholm;1293B4020;BJÄRNUM_V;1583;844;743;101;1424;134;50;Lågpendlingskommun nära större stad;31;6;15921.85948;7878433.721;7076;8.148003284;16;No
52;{96642DAF-D8F7-4C0F-9B7E-449A612BE74B};1257C1040;1257;12;Örkelljunga;Skåne;2018_v2;190;Örkelljunga;1257C1040;LÄRKERÖD;1104;619;592;27;1044;38;37;Pendlingskommun nära större stad;25;3;18063.34806;8848721.916;3700;8.863600704;15;No
53;{3407FAAA-DC57-49AC-B408-76BBFDD2788A};1284A0020;1284;12;Höganäs;Skåne;2018_v2;78;Höganäs;1284A0020;HÖGANÄS;1510;953;851;102;1395;17;57;Pendlingskommun nära större stad;25;3;44375.40854;52411493.9;4930;32.67448284;24;No
54;{6C6E4184-2CC5-4C77-A5D5-DE72347539B5};1256B3010;1256;12;Östra Göinge;Skåne;2018_v2;7;Östra Göinge;1256B3010;ARKELSTORP;1606;746;572;174;1206;324;44;Pendlingskommun nära större stad;25;3;11892.70539;8794835.272;2887;11.47438888;12;No
55;{96C0CD11-5009-4EAE-8067-C5F7303CE471};1292C1140;1292;12;Ängelholm;Skåne;2018_v2;26;Ängelholm;1292C1140;ÄNGELHO;1994;1115;1090;25;1956;0;66;Pendlingskommun nära större stad;25;3;20394.90274;10827585.92;2924;5.818537407;15;No
56;{15E50AE9-3BAC-4A47-BDFA-033AE2F20AC5};1293A0070;1293;12;Hässleholm;Skåne;2018_v2;41;Hässleholm;1293A0070;BJÄRNUM_V;905;631;561;70;895;0;37;Lågpendlingskommun nära större stad;31;6;67798.83077;113163904.9;3223;57.94735941;25;No
57;{FEEA2E7C-A50D-490D-AF51-7A111BDEE21B};1292B3010;1292;12;Ängelholm;Skåne;2018_v2;27;Ängelholm;1292B3010;ÄNGELHO;1043;555;468;87;881;93;33;Pendlingskommun nära större stad;25;3;10899.22495;5627930.396;11000;11.20771008;29;No
58;{3CE6DA19-6814-4C8A-A8D0-62E5B70CE405};1293B6010;1293;12;Hässleholm;Skåne;2018_v2;42;Hässleholm;1293B6010;BJÄRNUM_V;1855;893;622;271;1340;370;53;Lågpendlingskommun nära större stad;31;6;17477.23551;14271834.95;4691;12.14668146;16;No
59;{7471497E-A4FF-47B4-97E2-6A2242EBDFA9};1273C1010;1273;12;Osby;Skåne;2018_v2;240;Osby;1273C1010;BJÄRNUM_V;1567;867;792;75;1469;77;52;Pendlingskommun nära mindre tätort;33;5;13945.84022;10563103.88;3394;8.577811543;19;No
