OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
194;{848B69D4-B525-4E53-BF0C-E6B87CD403B5};1280C2470;1280;12;Malmö;Skåne;2018_v2;377;Malmö;1280C2470;MÖLLEVÅNGE;1777;355;0;355;0;1713;21;Storstäder;22;5;1126.090293;73096.2575;0;0;0;Large
195;{71B35BC1-F2B2-4326-8FD5-D8542DF76D75};1280C2510;1280;12;Malmö;Skåne;2018_v2;378;Malmö;1280C2510;MÖLLEVÅNGE;1612;360;0;360;0;1481;21;Storstäder;22;5;1050.120511;64731.69166;0;0;0;Large
196;{A7817190-343F-46D0-B429-81D9865802C1};1280C2440;1280;12;Malmö;Skåne;2018_v2;379;Malmö;1280C2440;MALMÖ_SJ;1496;479;219;260;577;836;28;Storstäder;22;5;2067.996048;255248.7762;0;0;0;Large
197;{E3FA9613-32F2-440A-A475-B0888A5E99DE};1291B5010;1291;12;Simrishamn;Skåne;2018_v2;639;Simrishamn;1291B5010;BORRBY;901;503;340;163;643;214;30;Landsbygdskommun med besöksnäring;28;9;8742.490591;5272647.039;2576;7.031918371;9;No
198;{8C19A9CC-5D2D-4C30-8CDA-9EEFFF4873E9};1286B2010;1286;12;Ystad;Skåne;2018_v2;556;Ystad;1286B2010;TOMELILLA;1682;934;732;202;1227;0;56;Mindre stad/tätort;22;3;22734.8573;10608766.96;5583;12.15555944;12;No
199;{569071B5-3795-473F-A171-96EEE29CE446};1287A0030;1287;12;Trelleborg;Skåne;2018_v2;611;Trelleborg;1287A0030;TRELLEBO_N;1271;833;796;37;1207;20;49;Pendlingskommun nära storstad;29;4;52460.66408;47404768.98;4908;54.37360742;49;No
200;{42AC775C-FEDB-4AB2-B281-287D15B84ECC};1280C1160;1280;12;Malmö;Skåne;2018_v2;380;Malmö;1280C1160;BUNKEFLO;2146;673;272;401;603;1498;40;Storstäder;22;5;4809.553839;1095606.959;0;0;0;Large
201;{8BC78E1B-B726-4EF4-AE47-15A9CE2F343D};1233B2080;1233;12;Vellinge;Skåne;2018_v2;535;Vellinge;1233B2080;FOTEVIK;1904;918;801;117;1637;184;55;Pendlingskommun nära storstad;29;4;20628.80884;11363016.78;7337;8.094519522;15;Medium
202;{785832F8-87CC-4C80-BF36-3E2119CEC90E};1280C2610;1280;12;Malmö;Skåne;2018_v2;381;Malmö;1280C2610;ÖTA;4072;760;11;749;41;3855;45;Storstäder;22;5;2868.513335;378733.3912;0;0;0;Large
203;{35905E14-18BA-4D83-A9F7-2133DF8BF730};1280C2670;1280;12;Malmö;Skåne;2018_v2;382;Malmö;1280C2670;CTA;1887;390;0;390;0;1752;23;Storstäder;22;5;2288.291825;205676.4451;0;0;0;Large
204;{81BF9FEF-9B4A-4C6F-BB89-D64755311B72};1286A0020;1286;12;Ystad;Skåne;2018_v2;557;Ystad;1286A0020;BORRBY;1300;817;698;119;1195;47;49;Mindre stad/tätort;22;3;37256.55044;61194564.4;4200;46.79349615;26;No
205;{43969111-4F98-4C5D-B2FD-4FD792C63A0E};1286A0010;1286;12;Ystad;Skåne;2018_v2;558;Ystad;1286A0010;BORRBY;1169;721;574;147;1004;95;43;Mindre stad/tätort;22;3;39024.56194;59240738.05;1721;48.88836075;33;No
206;{04D8B73B-5E8A-4F98-9303-7267EE925DEA};1280C2810;1280;12;Malmö;Skåne;2018_v2;383;Malmö;1280C2810;ÖTA;1979;419;0;419;0;1692;25;Storstäder;22;5;1440.098444;107356.6284;0;0;0;Large
207;{D8317EC8-81D4-4E6C-85C6-C9EACB1B2196};1264C1010;1264;12;Skurup;Skåne;2018_v2;687;Skurup;1264C1010;STJÄRNEHOL;2413;1007;516;491;1179;911;60;Pendlingskommun nära storstad;29;4;9944.387008;4403485.05;1183;3.949710618;5;No
208;{B70A8B21-81D3-49EE-AF8A-EC8C4A83F1BB};1286A0030;1286;12;Ystad;Skåne;2018_v2;559;Ystad;1286A0030;RYDSGÅRD;1793;916;837;79;1577;16;54;Mindre stad/tätort;22;3;36637.16519;42411779.4;4735;55.13733125;61;No
209;{E08302D7-CF6A-48A6-81F5-D0B94CD92E6A};1264A0020;1264;12;Skurup;Skåne;2018_v2;688;Skurup;1264A0020;STJÄRNEHOL;1076;735;695;40;1067;0;44;Pendlingskommun nära storstad;29;4;44267.15091;47146069.21;2127;58.48409265;52;No
210;{42F7A677-0FDF-4AEA-AC82-968EC36ACE3A};1280C2830;1280;12;Malmö;Skåne;2018_v2;384;Malmö;1280C2830;SEGE;1456;420;41;379;126;1325;25;Storstäder;22;5;2683.178945;325834.0519;0;0;0;Large
211;{75208C7D-ACF7-4EC7-8A43-776EE9032C0D};1280C2740;1280;12;Malmö;Skåne;2018_v2;385;Malmö;1280C2740;SEGE;1673;672;633;39;1400;229;40;Storstäder;22;5;7456.442181;2139670.338;0;0;0;Large
212;{2B1F70B4-3732-4C43-BE41-DEFF1E22D4BB};1233C1010;1233;12;Vellinge;Skåne;2018_v2;536;Vellinge;1233C1010;VELLINGE;1347;640;626;14;1253;26;38;Pendlingskommun nära storstad;29;4;8736.83292;2629219.898;8215;1.84872359;8;No
213;{A173C502-FBCC-4D95-AE89-AF37AE6835A5};1233C1030;1233;12;Vellinge;Skåne;2018_v2;537;Vellinge;1233C1030;VELLINGE;2337;1051;496;555;937;1166;63;Pendlingskommun nära storstad;29;4;4711.748517;758263.7124;0;0;0;No
214;{651E9735-A705-49F2-8ED9-F049C28056F0};1231C1010;1231;12;Burlöv;Skåne;2018_v2;695;Burlöv;1231C1010;SEGE;1605;640;0;640;0;1564;38;Pendlingskommun nära storstad;29;4;1752.895592;166256.2503;3382;0.272637813;1;No
215;{4008C9DE-3A69-48C5-9954-3202D172ADBF};1231C1030;1231;12;Burlöv;Skåne;2018_v2;696;Burlöv;1231C1030;SEGE;1514;527;0;527;0;1496;31;Pendlingskommun nära storstad;29;4;2074.103644;170242.6542;7733;1.130124686;3;No
216;{6F5BC847-3B8B-4833-948F-72E611CB6129};1281A0010;1281;12;Lund;Skåne;2018_v2;267;Lund;1281A0010;ÖNNESLÖV;841;573;528;45;832;0;34;Större stad;21;2;75150.09675;92676167.74;1261;69.94214156;45;No
217;{BABCE56D-290C-4B05-8F45-1336B210AFCD};1233C1020;1233;12;Vellinge;Skåne;2018_v2;538;Vellinge;1233C1020;VELLINGE;1676;786;480;306;954;522;47;Pendlingskommun nära storstad;29;4;8181.883105;2888449.854;16993;10.98093131;19;No
218;{A2EF82C4-DE10-4FBA-9E80-ED7783750645};1286C1110;1286;12;Ystad;Skåne;2018_v2;560;Ystad;1286C1110;TOMELILLA;1905;942;787;155;1576;292;56;Mindre stad/tätort;22;3;18499.70029;10668634.9;7766;18.58194367;39;Medium
219;{72E9324F-84B4-439C-B0E9-1EFCC115EFC4};1264C1040;1264;12;Skurup;Skåne;2018_v2;689;Skurup;1264C1040;STJÄRNEHOL;2607;1208;1046;162;2220;356;72;Pendlingskommun nära storstad;29;4;9376.988263;3426305.151;6950;7.611263881;18;No
220;{FB080828-DE3B-4AD2-AFF8-35D37B9F1746};1286A0040;1286;12;Ystad;Skåne;2018_v2;561;Ystad;1286A0040;TOMELILLA;1082;680;649;31;964;0;40;Mindre stad/tätort;22;3;74904.87027;53759510.17;4364;45.96823312;50;No
221;{E6E22108-327F-4759-9C1A-CF6066E58848};1291B4010;1291;12;Simrishamn;Skåne;2018_v2;640;Simrishamn;1291B4010;BORRBY;974;571;426;145;839;57;34;Landsbygdskommun med besöksnäring;28;9;14674.31996;10606057.13;1946;13.35960851;20;No
222;{DDA4AE37-6808-4337-8429-82984CD83594};1264C1020;1264;12;Skurup;Skåne;2018_v2;690;Skurup;1264C1020;STJÄRNEHOL;2089;964;882;82;1839;186;57;Pendlingskommun nära storstad;29;4;9185.778934;2923877.498;2127;2.754801226;5;No
223;{937CDC30-D2CC-4524-AE9E-D5CEABFCDBF5};1280C1680;1280;12;Malmö;Skåne;2018_v2;386;Malmö;1280C1680;HELENE;2039;406;2;404;6;1975;24;Storstäder;22;5;2871.43731;443715.3921;0;0;0;Large
224;{1BA54E5B-7CF7-4A48-B9FF-696C8BCBBAD7};1280C1790;1280;12;Malmö;Skåne;2018_v2;387;Malmö;1280C1790;LIMHAMN;1622;526;46;480;120;1442;31;Storstäder;22;5;1665.894521;126318.9016;0;0;0;Large
225;{9B63763E-893E-4045-A376-BFD13AB83A53};1292B3020;1292;12;Ängelholm;Skåne;2018_v2;29;Ängelholm;1292B3020;GREVIE;941;570;540;30;912;0;34;Pendlingskommun nära större stad;25;3;14177.03153;11318671.75;4961;16.11958699;18;No
226;{01391663-51FA-446C-860D-D166AD960819};1292A0030;1292;12;Ängelholm;Skåne;2018_v2;30;Ängelholm;1292A0030;LÄRKERÖD;2341;1515;1406;109;2282;21;90;Pendlingskommun nära större stad;25;3;75983.08729;164885951.7;4451;72.99860678;41;No
227;{D7AF1982-358A-4ED9-AC41-0BD44D1D80A5};1233B4010;1233;12;Vellinge;Skåne;2018_v2;539;Vellinge;1233B4010;SVEDALA;1027;537;507;30;881;0;32;Pendlingskommun nära storstad;29;4;12930.76713;4332280.49;2780;5.510931885;8;No
228;{FE3314A1-0534-4937-A48D-B82ED4A2AB60};1287A0040;1287;12;Trelleborg;Skåne;2018_v2;612;Trelleborg;1287A0040;TRELLEBO_N;1482;977;917;60;1409;10;58;Pendlingskommun nära storstad;29;4;37547.58573;46851883.51;6930;52.99462137;60;No
229;{FD962792-D71B-4CCE-B526-57C3629ADB4C};1280C1960;1280;12;Malmö;Skåne;2018_v2;388;Malmö;1280C1960;GULLÄNGEN;1488;347;0;347;0;1466;20;Storstäder;22;5;2902.138927;495050.3463;0;0;0;Large
230;{DD904CD0-73E9-4026-833F-F1BF2C8C5899};1263B2020;1263;12;Svedala;Skåne;2018_v2;654;Svedala;1263B2020;VINNEBERG;2904;1334;1142;192;2041;459;80;Pendlingskommun nära storstad;29;4;13651.08946;6547165.313;6582;7.435508885;23;No
231;{E5F531E9-C98E-45F5-93F5-453528E83E12};1280C2100;1280;12;Malmö;Skåne;2018_v2;389;Malmö;1280C2100;MÖLLEVÅNGE;1574;219;2;217;10;1343;13;Storstäder;22;5;907.6604319;51546.92285;0;0;0;Large
232;{C6570C4A-D2D0-4CF9-8601-34E1ADD68299};1280C2020;1280;12;Malmö;Skåne;2018_v2;390;Malmö;1280C2020;ELLENBORG;2149;300;0;300;0;1000;18;Storstäder;22;5;1819.563386;202644.1639;0;0;0;Large
233;{A3A15EF7-7E36-4C80-B226-2C650CF6902F};1280C2090;1280;12;Malmö;Skåne;2018_v2;391;Malmö;1280C2090;MÖLLEVÅNGE;1720;270;0;270;0;1679;16;Storstäder;22;5;1014.850905;60225.16242;0;0;0;Large
234;{3E0D8653-5B8E-40A4-BCF8-F597226ABE84};1264B2010;1264;12;Skurup;Skåne;2018_v2;691;Skurup;1264B2010;RYDSGÅRD;1626;862;722;140;1382;187;51;Pendlingskommun nära storstad;29;4;11785.81308;8127941.356;6490;15.98785693;22;No
235;{8EB3733D-271D-4A54-A82B-75A9B3AB0151};1233C1040;1233;12;Vellinge;Skåne;2018_v2;540;Vellinge;1233C1040;VELLINGE;2102;1073;1045;28;1853;119;64;Pendlingskommun nära storstad;29;4;11412.39497;4127514.025;14634;10.70587743;21;No
236;{48D84175-4090-488D-B695-9CDC37818342};1280C2420;1280;12;Malmö;Skåne;2018_v2;392;Malmö;1280C2420;FÅGELBACKE;1469;382;0;382;0;1328;22;Storstäder;22;5;1216.74602;73615.98811;0;0;0;Large
237;{6ED1FC21-BEE3-4BDE-9281-6F5524D4A3F1};1280C2380;1280;12;Malmö;Skåne;2018_v2;393;Malmö;1280C2380;MÖLLEVÅNGE;1860;385;6;379;22;1791;23;Storstäder;22;5;1666.50795;130700.7237;0;0;0;Large
238;{7101DB26-E727-488F-977C-88857C7B1572};1280C2430;1280;12;Malmö;Skåne;2018_v2;394;Malmö;1280C2430;FÅGELBACKE;1387;352;0;352;0;1353;21;Storstäder;22;5;1412.544352;57267.46452;0;0;0;Large
239;{722342C9-8DE8-409F-9A2A-137619DBAFDF};1280C2390;1280;12;Malmö;Skåne;2018_v2;395;Malmö;1280C2390;MÖLLEVÅNGE;1594;301;0;301;0;1441;18;Storstäder;22;5;1276.474636;83200.62153;0;0;0;Large
240;{2ABD7276-DBB6-4C38-853B-4197DD481EED};1280C2320;1280;12;Malmö;Skåne;2018_v2;396;Malmö;1280C2320;LIMHAMN;1486;626;69;557;119;1356;37;Storstäder;22;5;2724.034086;396866.2803;0;0;0;Large
241;{7420898A-0881-45C1-85EB-F893C72875E1};1291B3010;1291;12;Simrishamn;Skåne;2018_v2;641;Simrishamn;1291B3010;HERRESTA;990;560;423;137;786;158;33;Landsbygdskommun med besöksnäring;28;9;10437.59576;6778836.949;4569;8.711133457;9;No
242;{346BD01A-6FB5-4490-B64A-CEC78CA28A41};1263C1010;1263;12;Svedala;Skåne;2018_v2;655;Svedala;1263C1010;SVEDALA;2294;951;642;309;1166;398;57;Pendlingskommun nära storstad;29;4;8608.579287;3520444.204;6010;2.119635067;3;No
243;{5E417584-5AC7-4EAD-A8D1-6BF709DC2724};1287A0050;1287;12;Trelleborg;Skåne;2018_v2;613;Trelleborg;1287A0050;STJÄRNEHOL;1328;841;816;25;1285;21;50;Pendlingskommun nära storstad;29;4;66693.53748;71269054.15;2702;56.42084262;51;No
244;{12A838C8-DD17-4B9A-8C7A-52FE213B2FF0};1233C1050;1233;12;Vellinge;Skåne;2018_v2;541;Vellinge;1233C1050;VELLINGE;1763;867;573;294;931;510;52;Pendlingskommun nära storstad;29;4;8475.898264;3852335.756;8379;8.006458324;16;No
245;{B13C0D4D-FD7D-457C-A4C3-54F5297F8F30};1233A0010;1233;12;Vellinge;Skåne;2018_v2;542;Vellinge;1233A0010;FOTEVIK;1687;988;1008;-20;1626;3;59;Pendlingskommun nära storstad;29;4;54312.25611;51975787.03;9272;46.47075343;66;No
246;{8BDEE4F0-758E-47E5-9644-15C3263F0688};1281C1160;1281;12;Lund;Skåne;2018_v2;268;Lund;1281C1160;LUND_ÖM;1658;632;453;179;1058;592;37;Större stad;21;2;4998.654814;1092499.269;748;0.233719724;1;Large
247;{447CAE82-E034-4F38-B6CB-8A8599C6E0CE};1281C1200;1281;12;Lund;Skåne;2018_v2;269;Lund;1281C1200;LUND_SM;1290;385;178;207;555;554;23;Större stad;21;2;3381.738951;461495.3699;4348;0.228785704;1;Large
248;{0DA5BD9B-7976-4A9E-A836-F2D6ED6C333B};1281C1240;1281;12;Lund;Skåne;2018_v2;270;Lund;1281C1240;LUND_VM;1255;327;141;186;499;693;19;Större stad;21;2;2185.591881;268256.3452;0;0;0;Large
249;{C002B30F-5615-452D-B069-D7EE53322490};1281C1220;1281;12;Lund;Skåne;2018_v2;271;Lund;1281C1220;LUND_VM;1621;479;69;410;201;1358;28;Större stad;21;2;3168.488558;270637.3167;0;0;0;Large
250;{654005F5-4834-475E-8F51-699B21FF42FC};1263C1020;1263;12;Svedala;Skåne;2018_v2;656;Svedala;1263C1020;SVEDALA;2049;878;231;647;469;1332;52;Pendlingskommun nära storstad;29;4;5556.10471;953438.669;434;0.15779238;2;No
251;{5AAE3D9E-6DEB-44C5-9E31-219AC9B48EAC};1283C1180;1283;12;Helsingborg;Skåne;2018_v2;104;Helsingborg;1283C1180;RAUS_GÅRD;1574;766;758;8;1501;22;45;Större stad;21;2;3833.159725;626764.2785;0;0;0;Large
252;{8220A2BA-4A89-40AE-817C-A8CBE7469132};1264C1030;1264;12;Skurup;Skåne;2018_v2;692;Skurup;1264C1030;STJÄRNEHOL;2200;931;688;243;1401;650;55;Pendlingskommun nära storstad;29;4;15665.72218;7266139.496;6000;11.80472252;23;No
253;{CA4A0190-BA95-47AD-AFF8-8519A5FA5013};1263C1050;1263;12;Svedala;Skåne;2018_v2;657;Svedala;1263C1050;SVEDALA;2045;991;685;306;1353;681;59;Pendlingskommun nära storstad;29;4;4945.90148;803477.4701;0;0;0;No
254;{6D764F30-1365-4A85-8DBE-984C1272BDB1};1233A0020;1233;12;Vellinge;Skåne;2018_v2;543;Vellinge;1233A0020;VELLINGE;905;555;565;-10;867;11;33;Pendlingskommun nära storstad;29;4;30637.50549;26224384.7;2293;32.39943612;39;No
255;{85A1A80D-9CD5-48BF-A44F-E9AA4E6BC253};1233B4020;1233;12;Vellinge;Skåne;2018_v2;544;Vellinge;1233B4020;OXIE;1602;861;775;86;1391;29;51;Pendlingskommun nära storstad;29;4;26753.35708;16120275.34;3211;17.87363498;22;No
256;{4BFBCBA7-0839-4AB1-B399-81FB3E375DCD};1286A0050;1286;12;Ystad;Skåne;2018_v2;562;Ystad;1286A0050;RYDSGÅRD;1010;636;606;30;991;0;38;Mindre stad/tätort;22;3;56319.5598;34719662.21;6000;50.33747628;61;No
257;{1F8DFB7A-993C-4F93-94EE-C5C588D24260};1280C1010;1280;12;Malmö;Skåne;2018_v2;397;Malmö;1280C1010;VELLINGE;2074;933;931;2;1989;27;55;Storstäder;22;5;4376.860435;998994.4715;4511;1.90189707;3;No
258;{B072BDCA-B71E-4F62-9BE0-2E2F5F75EB13};1280C1230;1280;12;Malmö;Skåne;2018_v2;398;Malmö;1280C1230;HERMODSDAL;1819;612;138;474;272;1531;36;Storstäder;22;5;1947.263949;163773.1569;0;0;0;Large
259;{67828A2F-8B67-457E-AEEC-BD17534CA986};1263C1030;1263;12;Svedala;Skåne;2018_v2;658;Svedala;1263C1030;SVEDALA;1326;663;647;16;1249;0;39;Pendlingskommun nära storstad;29;4;13226.45516;6398207.693;6125;8.50828106;17;No
260;{D5A950A8-D2C5-444C-A5AD-623A20A2A15F};1270C1010;1270;12;Tomelilla;Skåne;2018_v2;705;Tomelilla;1270C1010;TOMELILLA;2357;1240;861;379;1610;672;74;Pendlingskommun nära mindre tätort;33;5;7231.95343;2024465.844;1108;0.686143961;2;No
261;{B4095D76-77F4-431F-9786-AC4B115414E4};1264A0030;1264;12;Skurup;Skåne;2018_v2;693;Skurup;1264A0030;RYDSGÅRD;906;593;567;26;894;0;35;Pendlingskommun nära storstad;29;4;67876.49155;51275062.34;3589;54.78043561;52;No
262;{1B535712-4121-4B02-BF9B-481E98BB016A};1283C1390;1283;12;Helsingborg;Skåne;2018_v2;105;Helsingborg;1283C1390;OLYMPIA;1682;617;43;574;98;1257;37;Större stad;21;2;2852.899677;334059.7288;0;0;0;Large
263;{6FEFFFDE-F0D7-4B4B-80B2-2DDEDBA1CDBC};1283C1380;1283;12;Helsingborg;Skåne;2018_v2;106;Helsingborg;1283C1380;OLYMPIA;2008;644;18;626;44;1748;38;Större stad;21;2;3047.066246;370088.2437;0;0;0;Large
264;{AEE2F6F4-A99B-4E79-A7FB-21D98D3EC8AB};1280C1020;1280;12;Malmö;Skåne;2018_v2;399;Malmö;1280C1020;LILLGRUND;1431;601;643;-42;1342;28;36;Storstäder;22;5;18235.66076;12104860.31;618;2.898885888;2;No
265;{E8A5FED0-C78C-42EA-9EB5-1F8E970DF7BD};1263C1060;1263;12;Svedala;Skåne;2018_v2;659;Svedala;1263C1060;SVEDALA;1358;715;685;30;1249;0;42;Pendlingskommun nära storstad;29;4;16075.89049;9116107.704;10644;17.7360926;50;No
266;{66036F1F-9C93-4D01-B551-62F9AB7267D0};1283C1450;1283;12;Helsingborg;Skåne;2018_v2;107;Helsingborg;1283C1450;OLYMPIA;1733;490;8;482;24;1681;29;Större stad;21;2;5192.581356;1038255.842;0;0;0;Large
267;{FD255621-5F7A-4132-A908-8D26E510C92C};1283C1510;1283;12;Helsingborg;Skåne;2018_v2;108;Helsingborg;1283C1510;OLYMPIA;2082;696;6;690;10;2002;41;Större stad;21;2;1911.681476;211556.6161;0;0;0;Large
268;{46A27698-A9A0-4DD2-82FD-93C495C667B1};1263C1070;1263;12;Svedala;Skåne;2018_v2;660;Svedala;1263C1070;SVEDALA;2157;1128;1033;95;1766;261;67;Pendlingskommun nära storstad;29;4;8166.492226;3062271.618;4848;4.516496688;3;No
269;{ACC11B5D-4DE7-4BB0-94D6-A5499059E786};1270C1020;1270;12;Tomelilla;Skåne;2018_v2;706;Tomelilla;1270C1020;TOMELILLA;1929;691;275;416;632;1081;41;Pendlingskommun nära mindre tätort;33;5;2839.345692;516642.6904;5600;0.530849254;1;No
270;{4996932C-4A5E-47AC-8BCC-8CDE9816B107};1270C1030;1270;12;Tomelilla;Skåne;2018_v2;707;Tomelilla;1270C1030;TOMELILLA;963;477;364;113;686;203;28;Pendlingskommun nära mindre tätort;33;5;2850.63332;551702.8318;8260;0.760528551;5;No
271;{E5FE7C97-4B98-4CA5-A4F6-482B80C14D6D};1280C1030;1280;12;Malmö;Skåne;2018_v2;400;Malmö;1280C1030;LILLGRUND;2137;842;764;78;1526;419;50;Storstäder;22;5;13750.23609;6628719.072;0;0;0;No
272;{6DECC64F-8495-4563-BA79-3B97D0F15A31};1280C1060;1280;12;Malmö;Skåne;2018_v2;401;Malmö;1280C1060;OXIE;1622;651;578;73;1204;409;39;Storstäder;22;5;4173.480513;817918.2872;0;0;0;No
273;{2F346855-DD37-46F0-8E82-C905017489E8};1280C1070;1280;12;Malmö;Skåne;2018_v2;402;Malmö;1280C1070;OXIE;2200;716;401;315;881;1203;42;Storstäder;22;5;2994.082144;333209.2323;0;0;0;No
274;{F6E14FBE-CFA1-4BB4-AD81-09947D890F40};1280C1200;1280;12;Malmö;Skåne;2018_v2;403;Malmö;1280C1200;LERNACKEN;2169;564;62;502;133;2021;33;Storstäder;22;5;3972.69909;374306.4161;2197;0.713867906;1;Large
275;{A55D37CE-9E17-4198-A363-68C0F559375F};1291C1010;1291;12;Simrishamn;Skåne;2018_v2;642;Simrishamn;1291C1010;HERRESTA;1206;651;556;95;1067;130;39;Landsbygdskommun med besöksnäring;28;9;11289.25401;6363948.949;6796;12.02231613;27;No
276;{CC754E1A-EB56-43C9-962F-D698ADC87571};1291C1030;1291;12;Simrishamn;Skåne;2018_v2;643;Simrishamn;1291C1030;HERRESTA;1679;721;121;600;262;1343;43;Landsbygdskommun med besöksnäring;28;9;4209.673775;580359.1368;7274;0.675862387;8;No
277;{5FC79821-63F4-4316-BFE2-431737D82ECE};1280C1050;1280;12;Malmö;Skåne;2018_v2;404;Malmö;1280C1050;OXIE;2641;1251;1299;-48;2498;22;75;Storstäder;22;5;11608.39521;4844429.817;1631;1.665722301;4;No
278;{A43EB70D-7620-4737-9A83-0AE2A8D5D3AF};1280C1260;1280;12;Malmö;Skåne;2018_v2;405;Malmö;1280C1260;HERMODSDAL;1548;480;0;480;0;1533;28;Storstäder;22;5;3187.987291;313475.5625;0;0;0;Large
279;{DBFE3883-0C26-41BF-AFF8-2D8E5D844B78};1270C1040;1270;12;Tomelilla;Skåne;2018_v2;708;Tomelilla;1270C1040;TOMELILLA;2211;1238;1044;194;1846;234;74;Pendlingskommun nära mindre tätort;33;5;28140.36388;16569879.68;6946;17.80623534;32;No
280;{907E44B9-4CEB-4EF0-BFE2-DFF3EABA759F};1291C1020;1291;12;Simrishamn;Skåne;2018_v2;644;Simrishamn;1291C1020;HERRESTA;2341;1072;605;467;1271;998;64;Landsbygdskommun med besöksnäring;28;9;17045.80878;7918124.764;1946;4.026363469;7;No
281;{9400D133-F152-4857-B851-FE17B7F0494C};1280C1040;1280;12;Malmö;Skåne;2018_v2;406;Malmö;1280C1040;FOSIEBY;2300;958;971;-13;1985;228;57;Storstäder;22;5;26811.40971;19834251.34;21656;24.7923077;44;No
282;{30219814-628E-4975-B631-462924BC7599};1280C1100;1280;12;Malmö;Skåne;2018_v2;407;Malmö;1280C1100;OXIE;1678;728;779;-51;1660;8;43;Storstäder;22;5;2961.680516;521150.4717;0;0;0;No
283;{FD774D0E-0955-4F4F-A42D-8EE40CA0DAC1};1291B2010;1291;12;Simrishamn;Skåne;2018_v2;645;Simrishamn;1291B2010;HERRESTA;1090;598;468;130;936;116;35;Landsbygdskommun med besöksnäring;28;9;10090.28608;6355605.643;4884;7.502297497;17;No
284;{67891027-04DB-4A8F-BEE2-D553C4385389};1280C1310;1280;12;Malmö;Skåne;2018_v2;408;Malmö;1280C1310;HYLLIE;1895;402;0;402;0;1888;24;Storstäder;22;5;2996.040334;406391.0018;0;0;0;Large
285;{B5F44459-2FEB-4E69-974D-BC8A5A737600};1280C1080;1280;12;Malmö;Skåne;2018_v2;409;Malmö;1280C1080;OXIE;1472;627;433;194;853;585;37;Storstäder;22;5;7682.213895;2016848.383;530;0.4063037;4;No
286;{E15D3CE7-32AC-4FE5-AD6F-882537A57FF5};1291C1040;1291;12;Simrishamn;Skåne;2018_v2;646;Simrishamn;1291C1040;HERRESTA;2114;1006;602;404;1298;685;60;Landsbygdskommun med besöksnäring;28;9;8513.246659;3579125.484;4535;2.420571698;4;No
287;{2C025096-1411-4940-8920-BC17E33FD827};1280C1170;1280;12;Malmö;Skåne;2018_v2;410;Malmö;1280C1170;HERMODSDAL;3280;790;0;790;0;3204;47;Storstäder;22;5;4284.148601;788358.0425;0;0;0;Large
288;{B5DB7F95-EDD7-4D8B-9AC9-8E62AECCF062};1280C1130;1280;12;Malmö;Skåne;2018_v2;411;Malmö;1280C1130;OXIE;2006;899;843;56;1572;403;53;Storstäder;22;5;8570.893999;2106991.375;16840;6.325216162;19;No
289;{4BEC422F-CCA5-4B2C-B820-6858B459268A};1280C1110;1280;12;Malmö;Skåne;2018_v2;412;Malmö;1280C1110;OXIE;2498;957;747;210;1826;56;57;Storstäder;22;5;13243.35638;3923959.328;17902;6.538406178;21;No
290;{51280A60-7349-46B7-9B66-D1B7D7819894};1280C1120;1280;12;Malmö;Skåne;2018_v2;413;Malmö;1280C1120;LERNACKEN;1110;446;451;-5;942;0;26;Storstäder;22;5;13146.32398;5176007.23;8448;2.745028418;1;Large
291;{14DED049-3E1A-44E5-A8A7-6D7A00AE107B};1280C1190;1280;12;Malmö;Skåne;2018_v2;414;Malmö;1280C1190;LERNACKEN;2498;953;936;17;2152;313;57;Storstäder;22;5;4064.601053;813131.7787;0;0;0;Large
292;{CF2BA0F7-CDB6-495F-9A5F-7400A0C2EC57};1286A0060;1286;12;Ystad;Skåne;2018_v2;563;Ystad;1286A0060;TOMELILLA;788;512;463;49;739;29;30;Mindre stad/tätort;22;3;50504.28382;78579860.54;4683;58.01572798;45;No
293;{6C0F2F45-3F78-421A-96D4-498CC62652C7};1280C1610;1280;12;Malmö;Skåne;2018_v2;415;Malmö;1280C1610;GULLÄNGEN;1817;621;598;23;1511;275;37;Storstäder;22;5;3270.742709;469472.397;0;0;0;Large
294;{B7C660DE-C433-4E16-B652-BB02F5CEA075};1280C1150;1280;12;Malmö;Skåne;2018_v2;416;Malmö;1280C1150;HERMODSDAL;1516;500;130;370;261;1138;30;Storstäder;22;5;8403.213606;2269981.938;14520;5.767607181;17;Large
295;{AF0C7410-B11A-4714-992B-9F7E81A33F7A};1280C1220;1280;12;Malmö;Skåne;2018_v2;417;Malmö;1280C1220;HYLLIE;1681;700;35;665;61;1610;42;Storstäder;22;5;3536.768201;380160.4801;0;0;0;Large
296;{FB2D0568-92BB-4FD8-B6A9-1A4AD4261AB5};1280C1290;1280;12;Malmö;Skåne;2018_v2;418;Malmö;1280C1290;HERMODSDAL;2167;451;0;451;0;2150;27;Storstäder;22;5;2621.584817;231720.482;0;0;0;Large
