deso,Final Probability
1280C1030,0.0
1280C1060,0.0
1280C1070,0.0
1280C1200,0.0019860475204120376
1291C1010,0.0007868246402541549
1291C1030,0.0008421663380236496
1280C1050,0.00018883328255658134
1280C1260,0.0017316841103710756
1270C1040,0.0008041912818136199
1291C1020,0.00022530322983145754
1280C1040,0.002507279930745141
1280C1100,0.0
1291B2010,0.0005654578491761761
1280C1310,0.0017316841103710756
1280C1080,6.13621335101092e-05
1291C1040,0.0005250514631478211
1280C1170,0.0017316841103710756
1280C1130,0.0019496949590759227
1280C1110,0.002072650781316934
1280C1120,0.0027097733630001373
1280C1190,0.0017316841103710756
1286A0060,0.0005421865494864931
1280C1610,0.0017316841103710756
1280C1150,0.003412775013327275
1280C1220,0.0017316841103710756
1280C1290,0.0017316841103710756
1280C1300,0.0017316841103710756
1280C1870,0.0017316841103710756
1280C1920,0.0017316841103710756
1280C1280,0.0017316841103710756
1280C1250,0.0023219183681720884
1280C1320,0.0017316841103710756
1280C1180,0.004335291012966049
1280C1270,0.0017316841103710756
1280C1360,0.0017316841103710756
1280C1330,0.0017316841103710756
1280C1380,0.0017316841103710756
1280C1350,0.0017316841103710756
1280C1390,0.0017316841103710756
1291A0010,0.0004374078120777218
1280C1460,0.0017316841103710756
1280C1430,0.0017316841103710756
1280C1420,0.0017316841103710756
1280C1370,0.0017316841103710756
1280C1410,0.0017316841103710756
1280C1470,0.0017316841103710756
1282C1080,0.0013606089438629875
1280C1400,0.0017316841103710756
1264A0040,0.0004389129210128754
1280C1340,0.0017316841103710756
1280C1530,0.0017316841103710756
1280C1480,0.0017316841103710756
1280C1510,0.0017316841103710756
1280C1490,0.0017316841103710756
1280C1580,0.0017316841103710756
1280C1570,0.0017316841103710756
1280C1590,0.0017316841103710756
1280C1440,0.0018341472955719182
1263B2010,0.00033355529555212187
1280C1600,0.0017316841103710756
1280C1620,0.0017316841103710756
1280C1700,0.0017316841103710756
1280C1500,0.0017316841103710756
1280C1560,0.0017316841103710756
1280C1710,0.0017316841103710756
1280C1650,0.0017316841103710756
1280C1450,0.002071491396884605
1280C1740,0.0017316841103710756
1280C1540,0.0017456932012290438
1280C1730,0.0017316841103710756
1280C1780,0.0017316841103710756
1280C1670,0.0017316841103710756
1280C1770,0.0017316841103710756
1280C1800,0.0017316841103710756
1280C1660,0.0017316841103710756
1280C1840,0.0017316841103710756
1280C1830,0.0017316841103710756
1280C1550,0.001997974222611235
1280C1820,0.0017316841103710756
1280C1810,0.0017316841103710756
1280C1890,0.0017316841103710756
1280C1950,0.0017316841103710756
1280C2160,0.0017316841103710756
1280C2250,0.0017316841103710756
1280C2220,0.0017316841103710756
1280C2260,0.0017316841103710756
1280C2530,0.0017316841103710756
1280C1990,0.0017316841103710756
1265B2010,0.0002162725762205358
1280C2050,0.0017316841103710756
1291A0030,0.0004633419968065227
1280C2110,0.0017316841103710756
1280C2140,0.0017316841103710756
1280C1910,0.0017316841103710756
1280C2070,0.0017316841103710756
1280C2150,0.0017316841103710756
1280C2180,0.0017316841103710756
1280C2170,0.0017316841103710756
1280C2040,0.0017316841103710756
1280C2120,0.0017316841103710756
1280C2350,0.0017316841103710756
1280C2360,0.0017316841103710756
1280C2370,0.0017316841103710756
1280C2190,0.0017316841103710756
1280C2280,0.0017316841103710756
1280C2570,0.0017316841103710756
1280C2540,0.0017316841103710756
1280C2550,0.0017316841103710756
1280C2580,0.0017316841103710756
1280C2650,0.0017316841103710756
1280C2210,0.0017316841103710756
1280C2560,0.0017316841103710756
1280C2590,0.0017316841103710756
1280C2620,0.0017316841103710756
1280C2500,0.0017316841103710756
1280C2340,0.0017316841103710756
1280C2630,0.0017316841103710756
1263B3010,0.0009506499589651069
1280C2660,0.0017316841103710756
1281B5010,0.00033795484474718633
1280C2690,0.0017316841103710756
1280C2720,0.0017316841103710756
1280C2700,0.0017316841103710756
1280C2010,0.002679093904573447
1270A0010,0.0007461866990050072
1281B5020,0.00023769143414387582
1280C2770,0.0017316841103710756
1280C2640,0.0017316841103710756
1280C2790,0.0017316841103710756
1263A0010,0.001336768289637209
1280C2760,0.0017316841103710756
1280C2820,0.0017316841103710756
1265A0010,0.0004346291494282074
1280C2710,0.0017316841103710756
1280C2860,0.0017316841103710756
1280C2850,0.0017316841103710756
1280C2840,0.0017316841103710756
1263A0020,0.001232336885059627
1280C2890,0.0017316841103710756
1280C2880,0.0017316841103710756
1280C2900,0.0017316841103710756
1281B4010,0.00014472201299554056
1280C2870,0.0017316841103710756
1265C1010,0.000979362806343422
1265A0020,0.0002809922604321416
1281B4020,0.00028423403352324165
1280C2910,0.002252683357155022
1270A0020,0.0005067586007051849
1265C1020,0.0
1230C1030,0.0013606089438629875
1231C1020,0.001137283466924156
1230C1040,0.0013606089438629875
1291A0040,0.00047399353696299444
1231C1050,0.0009447453008348888
1230C1010,0.0012735537143607571
1283C1230,0.0017316841103710756
1283C1240,0.0017316841103710756
1280C2920,0.002738949320820038
1281C1410,0.0018385468447669829
1283C1410,0.0017316841103710756
1283C1370,0.0017316841103710756
1272B3010,0.0004239776092717357
1290B6010,0.0008866249404158797
1281B4030,0.00047248842802784084
1231C1040,0.003129468809015569
1283C1500,0.0017316841103710756
1283C1490,0.0017316841103710756
1272C1010,0.0010008974418771585
1265C1030,0.0002221772343507539
1265C1040,0.0008809518375064545
1231C1060,0.0010072652104489623
1230C1050,0.0019350974466500852
1230C1060,0.0013606089438629875
1230C1020,0.0024085120955610975
1281C1290,0.0029409812509618126
1281C1300,0.0017316841103710756
1281A0020,0.0017038990922042965
1231C1070,0.0009030653610921731
1230C1080,0.0014235919639186468
1231C1080,0.0013659442474571102
1281B3010,0.0009266839936130454
1231C1090,0.0012134651345650086
1230C1070,0.00254895033697197
1291A0050,0.0001601204351782661
1231C1100,0.0004038323050627564
1281B3020,0.0
1281C1260,0.0017316841103710756
1281C1310,0.0017316841103710756
1281C1320,0.0017316841103710756
1281C1360,0.0017316841103710756
1281C1350,0.0017316841103710756
1262C1020,0.00023167099840326136
1262C1010,0.0018652930810969233
1230B2010,0.0003863498858928951
1262C1030,0.0
1281C1210,0.0017316841103710756
1262C1040,0.0
1281B3030,7.95392183423491e-05
1281C1120,0.0017316841103710756
1281C1090,0.0019183176183301246
1281C1170,0.0017316841103710756
1291A0060,0.0004305769330643323
1292C1030,0.0013606089438629875
1281B3040,0.0012816581470885074
1230A0010,0.0027426558126810883
1262C1050,0.0
1262C1060,0.0
1281C1020,0.0035610861322451053
1230B2020,0.0018291704666532364
1281C1030,0.00430310483727584
1281C1100,0.0017316841103710756
1281C1080,0.0024554099529591747
1281C1070,0.0017316841103710756
1265A0030,0.0005512172030974149
1281C1130,0.0017316841103710756
1281C1540,0.0017316841103710756
1262C1070,0.0023028166707850417
1281C1150,0.0017316841103710756
1281C1140,0.0017316841103710756
1281C1110,0.0017316841103710756
1281B2010,0.00036111036682647283
1281C1340,0.0017316841103710756
1281C1280,0.0017316841103710756
1281C1380,0.0017316841103710756
1281C1370,0.0033033651715026462
1281C1390,0.0020140657021279745
1281C1400,0.0025428220488084813
1281C1420,0.003202059762405768
1281C1330,0.0028894602143354
1262C1080,0.0
1281C1440,0.0033244366965947967
1281C1450,0.003202059762405768
1265A0060,0.00042073583618063557
1261C1070,0.0005042114932764634
1281B2020,0.00022009323736361808
1281C1460,0.0025327493967039916
1281C1490,0.0017316841103710756
1281C1470,0.002618193273176559
1281C1480,0.002980114083275807
1281C1500,0.0017316841103710756
1283C1610,0.003267705667500545
1262C1090,0.0
1281C1520,0.0017316841103710756
1281C1430,0.003306259611762557
1281C1510,0.002063271186546458
1281C1530,0.0017316841103710756
1290B8010,0.0003328606298897433
1281C1550,0.0020087399320497384
1281B2030,0.000724188953029685
1261C1090,0.0005706678416440155
1285A0010,0.0003964225379973847
1281B2040,0.00041564162132319256
1262C1100,0.002454485340404368
1281A0030,0.001150945224950935
1291A0070,0.0005754147236702693
1281C1560,0.00025737362791126934
1262C1120,0.001719065959166229
1262C1110,0.0024388553630008496
1281C1570,0.00018674928556944553
1261B2010,0.001156849883081153
1265A0070,0.00015676288447676954
1261B2020,0.002826710357828898
1270A0030,0.0005754147236702693
1285A0020,0.0013096763288044438
